facility_id,facility_name,primary_sector,emissions_2023,label
1002916,ARCHER DANIEL MIDLAND COMPANY,Other,1115108.488,ARCHER DANIEL MIDLAND COMPANY [1002916] -- Other
1000483,Colorado Bend I,Power Plants,1112844.024,Colorado Bend I [1000483] -- Power Plants
1002461,ULTRAMAR INC WILMINGTON REFINERY,Petroleum Product Suppliers,1106672.62,ULTRAMAR INC WILMINGTON REFINERY [1002461] -- Petroleum Product Suppliers
1006654,Gerald Whelan Energy Center,Power Plants,1097680.574,Gerald Whelan Energy Center [1006654] -- Power Plants
1000446,TS Power Plant,Power Plants,1088648.234,TS Power Plant [1000446] -- Power Plants
1006097,Haynes Generating Station,Power Plants,1075069.896,Haynes Generating Station [1006097] -- Power Plants
1000271,Rocky Mountain Energy Center,Power Plants,1074429.868,Rocky Mountain Energy Center [1000271] -- Power Plants
1001936,SHELL CHEMICAL CO - GEISMAR PLANT,Chemicals,1069814.486,SHELL CHEMICAL CO - GEISMAR PLANT [1001936] -- Chemicals
1001195,Ray D Nixon,Power Plants,1069477.774,Ray D Nixon [1001195] -- Power Plants
1006959,VALERO CORPUS CHRISTI REFINERY EAST PLANT,Chemicals,1066775.996,VALERO CORPUS CHRISTI REFINERY EAST PLANT [1006959] -- Chemicals
1007287,Indiana Harbor Coke Company,Metals,1065051.89,Indiana Harbor Coke Company [1007287] -- Metals
1007965,CITGO CORPUS CHRISTI REFINERY EAST PLANT,Petroleum Product Suppliers,1063388.136,CITGO CORPUS CHRISTI REFINERY EAST PLANT [1007965] -- Petroleum Product Suppliers
1001451,Mountainview Generating Station,Power Plants,1056295.236,Mountainview Generating Station [1001451] -- Power Plants
1001351,Dogwood Energy Facility,Power Plants,1048315.716,Dogwood Energy Facility [1001351] -- Power Plants
1005302,LONE STAR INDUSTRIES INC,Minerals,1028904.308,LONE STAR INDUSTRIES INC [1005302] -- Minerals
1000703,Moselle Generating Plant,Power Plants,1027892.588,Moselle Generating Plant [1000703] -- Power Plants
1003993,EL DORADO CHEMICAL COMPANY,Chemicals,1027771.684,EL DORADO CHEMICAL COMPANY [1003993] -- Chemicals
1007046,"Koch Fertilizer Ft. Dodge, LLC",Chemicals,1025232.728,"Koch Fertilizer Ft. Dodge, LLC [1007046] -- Chemicals"
1002802,KLEEN ENERGY SYSTEMS POWER PLANT,Power Plants,1014344.376,KLEEN ENERGY SYSTEMS POWER PLANT [1002802] -- Power Plants
