year,primary_sector,state,emissions,n_facilities
2011,Waste,CO,309740.185002,4
2011,Waste,CT,466307.896,4
2011,Waste,FL,3041436.935816,22
2011,Waste,GA,1639927.66985,17
2011,Waste,HI,89904,1
2011,Waste,IA,506574.044,11
2011,Waste,ID,74799.75,1
2011,Waste,IL,1275800.935103,19
2011,Waste,IN,1247070.796017,14
2011,Waste,KS,423079.012,5
2011,Waste,KY,501018.15,8
2011,Waste,LA,722379.3884,8
2011,Waste,MA,446666.64,3
2011,Waste,MD,981303.7440000001,7
2011,Waste,ME,58921.456,1
2011,Waste,MI,724393.599875,9
2011,Waste,MN,259137.212,4
2011,Waste,MO,162137.91,5
2011,Waste,MS,488373.505675,4
2011,Waste,NC,1686257.7280000001,19
2011,Waste,ND,197668.22625,3
2011,Waste,NE,422757.848,6
2011,Waste,NH,75654.888,1
2011,Waste,NJ,631416.708,6
2011,Waste,NM,103157.25,2
2011,Waste,NV,24761.5,1
2011,Waste,NY,1501135.516848,18
2011,Waste,OH,1255567.9595,13
2011,Waste,OK,218287.91935,5
2011,Waste,OR,255578.583432,1
2011,Waste,PA,1874642.667436,18
2011,Waste,PR,139394.1605,2
2011,Waste,SC,859016.368,11
2011,Waste,SD,39370.75,1
2011,Waste,TN,973998.971481,10
2011,Waste,TX,2503402.551475,29
2011,Waste,UT,318734.08999999997,6
2011,Waste,VA,362365.656385,7
2011,Waste,VT,84038.4,1
2011,Waste,WA,802377.544,9
2011,Waste,WI,575759.791242,10
2011,Waste,WV,404349.62967500003,5
2011,Waste,WY,71017.75,1
2012,Other,AK,766944.922,7
2012,Other,AL,330858.03599999996,7
2012,Other,AR,165361.088,4
2012,Other,AZ,150645.15047,2
2012,Other,CA,3673083.7845,33
2012,Other,CO,495144.788,6
2012,Other,CT,598585.804,9
2012,Other,DE,109306.76,2
2012,Other,FL,324210.906,5
2012,Other,GA,864873.26,15
2012,Other,IA,9300538.944,41
2012,Other,ID,366358.4696,8
2012,Other,IL,1963521.908,21
2012,Other,IN,3646281.91,26
2012,Other,KS,791248.446,14
2012,Other,KY,518319.440863198,10
2012,Other,LA,293180.604,4
2012,Other,MA,486087.25,6
2012,Other,MD,437724.872,4
2012,Other,ME,40929.836,1
2012,Other,MI,1759992.3260940276,20
2012,Other,MN,1728471.942,22
2012,Other,MO,697891.326760621,13
2012,Other,MS,143942.706,3
2012,Other,MT,30214.336,1
2012,Other,NC,553770.422,11
2012,Other,ND,365210.546,5
2012,Other,NE,2609427.924,19
2012,Other,NH,43870.65,1
2012,Other,NJ,304441.49199999997,7
2012,Other,NM,115835.356,3
2012,Other,NV,294862.052,4
2012,Other,NY,1148840.5545817,16
2012,Other,OH,1659326.5614693968,19
2012,Other,OK,563261.974,8
2012,Other,OR,397085.4895,7
2012,Other,PA,3904461.318,11
2012,Other,RI,24024.154,1
2012,Other,SC,291142.088,6
2012,Other,SD,1004411.7119999999,11
2012,Other,TN,1093163.4479999999,11
2012,Other,TX,9890662.4845136,25
2012,Other,UT,194745.652,4
2012,Other,VA,882417.2483883,10
2012,Other,VI,42119.652,1
2012,Other,VT,53036.373999999996,2
2012,Other,WA,474407.56,8
2012,Other,WI,811592.498,13
2012,Other,WV,3972243.89,4
2012,Other,WY,42023.18,1
2012,Chemicals,AK,640599.34,2
2012,Chemicals,AL,1966016.7804,7
2012,Chemicals,AR,1486753.78,6
2012,Chemicals,AZ,415246.538,1
2012,Chemicals,CA,21064373.114,15
2012,Chemicals,CO,29121.04,1
2012,Chemicals,DE,30264.236,1
2012,Chemicals,FL,253409.362,1
2012,Chemicals,GA,1791798.046,2
2012,Chemicals,HI,520936.016,1
2012,Chemicals,IA,2378501.8680000002,4
2012,Chemicals,ID,233052.872,2
2012,Chemicals,IL,6865595.772,10
2012,Chemicals,IN,4932241.998,3
2012,Chemicals,KS,4578949.93,8
2012,Chemicals,KY,625959.49,4
2012,Chemicals,LA,29894299.112,32
2012,Chemicals,MA,79031.054,2
2012,Chemicals,MD,98074.18,1
2012,Chemicals,MI,195811.64800000002,3
2012,Chemicals,MN,4454169.896,2
2012,Chemicals,MO,218103.344,3
2012,Chemicals,MS,6076162.131999999,2
2012,Chemicals,MT,2558567.09,4
2012,Chemicals,NC,149576.774,1
2012,Chemicals,NJ,2551376.584,3
2012,Chemicals,NM,712551.588,1
2012,Chemicals,NV,26533.4,1
2012,Chemicals,NY,29471.688,1
2012,Chemicals,OH,2311621.826,8
2012,Chemicals,OK,4625703.28,4
2012,Chemicals,OR,180886.494,1
2012,Chemicals,PA,995501.812,5
2012,Chemicals,PR,110110.44,1
2012,Chemicals,TN,6667269.842,5
2012,Chemicals,TX,34891118.454,45
2012,Chemicals,UT,188130.44400000002,2
2012,Chemicals,VA,1203638.728,2
2012,Chemicals,WA,2417883.004,4
2012,Chemicals,WV,2090627.0510475999,5
2012,Chemicals,WY,469893.406,1
2012,Import and Export of Equipment Containing Fluorintaed GHGs,AL,31186.072,1
2012,Import and Export of Equipment Containing Fluorintaed GHGs,PA,32676.96,1
2012,Industrial Gas Suppliers,NJ,17111.936,1
2012,Injection of CO2,IL,4714596.31,1
2012,Injection of CO2,NM,267690.223,1
2012,Injection of CO2,TX,193728.124,2
2012,Metals,AL,1321325.658,9
2012,Metals,AR,572816.562,3
2012,Metals,AZ,85005.376,1
2012,Metals,CA,108005.106,3
2012,Metals,CO,347443.26,1
2012,Metals,FL,76930.32,1
2012,Metals,GA,121247.59400000001,2
2012,Metals,IA,283342.256,3
2012,Metals,IL,1304942.262,8
2012,Metals,IN,25520822.848,17
2012,Metals,KY,459264.904,5
2012,Metals,LA,748636.28,1
2012,Metals,MI,1575966.428,3
2012,Metals,MN,2201647.2479999997,4
2012,Metals,MO,20601.3,1
2012,Metals,MS,568649.36,1
2012,Metals,NC,379587.352,2
2012,Metals,NE,193606.132,1
2012,Metals,NJ,45524.96,1
2012,Metals,NY,171399.208,2
2012,Metals,OH,1755979.108,10
2012,Metals,OR,182474.526,2
2012,Metals,PA,4944401.88,14
2012,Metals,SC,335158.924,3
2012,Metals,TN,273788.298,2
2012,Metals,TX,767301.914,6
2012,Metals,UT,213984.962,1
2012,Metals,VA,736914.142,3
2012,Metals,WA,108363.792,1
2012,Metals,WI,412565.698,3
2012,Metals,WV,256023.66,3
2012,Minerals,AL,2962455.128,7
2012,Minerals,AR,497307.186,3
2012,Minerals,AZ,1108060.816,2
2012,Minerals,CA,3741691.454,7
2012,Minerals,CO,235180.62800000003,3
2012,Minerals,GA,245570.63,4
2012,Minerals,IA,1577508.528,6
2012,Minerals,ID,294606.2,1
2012,Minerals,IL,751854.076,4
2012,Minerals,IN,2221160.202,9
2012,Minerals,KS,1421281.7959999999,4
2012,Minerals,KY,2590225.59,5
2012,Minerals,MI,3912192.622,7
2012,Minerals,MN,1722213.784,6
2012,Minerals,MO,8415990.094,8
2012,Minerals,MS,45615.52,1
2012,Minerals,MT,742432.848,3
2012,Minerals,NC,389781.04,5
2012,Minerals,ND,1170786.996,3
2012,Minerals,NE,678085.01,1
2012,Minerals,NJ,118774.808,3
2012,Minerals,NM,35281.168,1
2012,Minerals,NV,1222983.026,2
2012,Minerals,NY,405451.336,5
2012,Minerals,OH,2110741.396,9
2012,Minerals,OK,798111.51,6
2012,Minerals,PA,2336626.292,11
2012,Minerals,SC,2292194.128,5
2012,Minerals,SD,291260.22,1
2012,Minerals,TN,655580.4400000001,6
2012,Minerals,TX,4356784.074,11
2012,Minerals,UT,887223.686,1
2012,Minerals,VA,89891.996,2
2012,Minerals,WA,476054.11,4
2012,Minerals,WI,1002932.682,6
