year,primary_sector,state,p50,n_facilities
2024,Metals,TN,289946.8870664872,2
2024,Metals,TX,911992.8609176711,6
2024,Metals,UT,260483.9407744805,1
2024,Metals,VA,504932.58502304903,3
2024,Metals,WA,121439.31667825078,1
2024,Metals,WI,392245.32749194634,3
2024,Metals,WV,252981.273474947,3
2024,Minerals,AL,3416248.1673902944,7
2024,Minerals,AR,505582.80154466163,3
2024,Minerals,AZ,1677815.0104118164,2
2024,Minerals,CA,4350806.534631229,7
2024,Minerals,CO,265220.2145541352,3
2024,Minerals,GA,254868.29034399765,4
2024,Minerals,IA,1577696.2603545326,6
2024,Minerals,ID,271187.3940909195,1
2024,Minerals,IL,1185043.9202821439,4
2024,Minerals,IN,2278827.358110765,9
2024,Minerals,KS,2572094.7680899543,4
2024,Minerals,KY,2698615.7795457128,5
2024,Minerals,MI,3811859.3598656845,7
2024,Minerals,MN,1610625.07867546,6
2024,Minerals,MO,8217540.80103475,8
2024,Minerals,MS,32240.721169956658,1
2024,Minerals,MT,728433.4116724352,3
2024,Minerals,NC,368734.81280274503,5
2024,Minerals,ND,1298644.6579154497,3
2024,Minerals,NE,636593.7899085907,1
2024,Minerals,NJ,119005.29973881398,3
2024,Minerals,NM,45799.658561739314,1
2024,Minerals,NV,960126.3090091547,2
2024,Minerals,NY,381388.433905137,5
2024,Minerals,OH,2411016.123657668,9
2024,Minerals,OK,884289.26936752,6
2024,Minerals,PA,2754460.6895089312,11
2024,Minerals,SC,2510525.7515836377,5
2024,Minerals,SD,270605.29948434,1
2024,Minerals,TN,1190316.9969066281,6
2024,Minerals,TX,4214983.089262748,11
2024,Minerals,UT,710726.8428268795,1
2024,Minerals,VA,108366.38263052887,2
2024,Minerals,WA,573423.2330187313,4
2024,Minerals,WI,1052947.6173190032,6
2024,Minerals,WV,394312.3022802222,2
2024,Minerals,WY,3248910.195476367,5
2024,Natural Gas and Natural Gas Liquids Suppliers,AL,272356.90933334036,2
2024,Natural Gas and Natural Gas Liquids Suppliers,CA,28060.43552316928,1
2024,Natural Gas and Natural Gas Liquids Suppliers,CO,401655.47962093365,1
2024,Natural Gas and Natural Gas Liquids Suppliers,IL,306552.9449461692,1
2024,Natural Gas and Natural Gas Liquids Suppliers,LA,315132.7205073325,4
2024,Natural Gas and Natural Gas Liquids Suppliers,MN,38367.03204042119,1
2024,Natural Gas and Natural Gas Liquids Suppliers,ND,28373.128161581473,1
2024,Natural Gas and Natural Gas Liquids Suppliers,OK,32968.870462671715,1
2024,Natural Gas and Natural Gas Liquids Suppliers,TX,1161869.8337833097,5
2024,Natural Gas and Natural Gas Liquids Suppliers,WY,419345.5332112065,4
2024,Petroleum and Natural Gas Systems,AK,7360611.268632863,8
2024,Petroleum and Natural Gas Systems,AL,599806.2838994736,5
2024,Petroleum and Natural Gas Systems,AR,89527.07014040816,2
2024,Petroleum and Natural Gas Systems,AZ,307496.25237045635,5
2024,Petroleum and Natural Gas Systems,CA,449451.9049924434,6
2024,Petroleum and Natural Gas Systems,CO,1708595.8303022294,8
2024,Petroleum and Natural Gas Systems,CT,177951.83569165092,3
2024,Petroleum and Natural Gas Systems,FL,138526.64373186222,3
2024,Petroleum and Natural Gas Systems,HI,24895.43195078454,1
2024,Petroleum and Natural Gas Systems,IA,166100.67494785853,3
2024,Petroleum and Natural Gas Systems,ID,238382.65704533958,2
2024,Petroleum and Natural Gas Systems,IL,127932.73884543718,3
2024,Petroleum and Natural Gas Systems,IN,82443.24070616938,1
2024,Petroleum and Natural Gas Systems,KS,88863.54986472914,3
2024,Petroleum and Natural Gas Systems,KY,18579.710924649473,1
2024,Petroleum and Natural Gas Systems,LA,3483046.930068591,28
2024,Petroleum and Natural Gas Systems,MA,31306.859159065003,1
2024,Petroleum and Natural Gas Systems,MI,648823.1415915049,4
2024,Petroleum and Natural Gas Systems,MN,284795.66965882387,3
2024,Petroleum and Natural Gas Systems,MS,482172.0467831271,9
2024,Petroleum and Natural Gas Systems,ND,908122.7119907014,9
2024,Petroleum and Natural Gas Systems,NJ,67129.35795832108,1
2024,Petroleum and Natural Gas Systems,NM,634995.8232731541,5
2024,Petroleum and Natural Gas Systems,NV,146211.93401779293,2
2024,Petroleum and Natural Gas Systems,NY,238435.90993826344,3
2024,Petroleum and Natural Gas Systems,OH,19663.657916993947,1
2024,Petroleum and Natural Gas Systems,OK,986934.3110092039,12
2024,Petroleum and Natural Gas Systems,OR,60489.76932531998,1
2024,Petroleum and Natural Gas Systems,PA,436016.5210522525,6
2024,Petroleum and Natural Gas Systems,SC,1941251.32471494,1
2024,Petroleum and Natural Gas Systems,TX,5792628.209035398,28
2024,Petroleum and Natural Gas Systems,UT,212849.4309097031,4
2024,Petroleum and Natural Gas Systems,WA,109211.06082474829,1
2024,Petroleum and Natural Gas Systems,WV,201497.7056912583,3
2024,Petroleum and Natural Gas Systems,WY,913082.4915799741,7
2024,Petroleum Product Suppliers,AK,492704.2043350383,1
2024,Petroleum Product Suppliers,AL,392690.52012514014,1
2024,Petroleum Product Suppliers,CA,1025323.8539695385,3
2024,Petroleum Product Suppliers,IL,4171108.7578234323,2
2024,Petroleum Product Suppliers,IN,202690.8885578629,1
2024,Petroleum Product Suppliers,KY,2084486.0054591564,1
2024,Petroleum Product Suppliers,LA,11851371.500030646,6
2024,Petroleum Product Suppliers,MI,866197.5984810058,1
2024,Petroleum Product Suppliers,MS,31010.184794329838,1
2024,Petroleum Product Suppliers,ND,673497.3326245056,1
2024,Petroleum Product Suppliers,NJ,5551.549803873298,1
2024,Petroleum Product Suppliers,NV,14622.743952988707,1
2024,Petroleum Product Suppliers,OH,3055784.3638781095,3
2024,Petroleum Product Suppliers,OK,438805.93597294233,1
2024,Petroleum Product Suppliers,PA,106813.97519455625,1
2024,Petroleum Product Suppliers,TX,10147131.510238321,8
2024,Petroleum Product Suppliers,WA,3151467.053704874,3
2024,Petroleum Product Suppliers,WY,158361.75642373922,1
2024,Power Plants,AK,1436880.8391761072,5
2024,Power Plants,AL,31418412.665710952,8
2024,Power Plants,AR,4438973.624030747,2
2024,Power Plants,AZ,17471509.064854532,7
2024,Power Plants,CA,10533303.745807815,22
2024,Power Plants,CO,17616354.91535009,10
2024,Power Plants,CT,5388214.93693583,5
2024,Power Plants,DC,176743.89173318798,2
2024,Power Plants,DE,55313.797592028415,1
2024,Power Plants,FL,38199277.24875762,16
2024,Power Plants,GA,18809832.46145096,7
2024,Power Plants,GU,377996.9423556652,1
2024,Power Plants,HI,737658.05186227,5
2024,Power Plants,IA,10116243.299372546,3
2024,Power Plants,ID,738812.6031378963,1
2024,Power Plants,IL,5067984.368926667,3
2024,Power Plants,IN,9657736.892286131,4
2024,Power Plants,KS,9754310.103187319,4
2024,Power Plants,KY,29909481.444271512,5
2024,Power Plants,LA,10858186.993006164,6
2024,Power Plants,MA,1196204.5281780083,5
2024,Power Plants,MD,61824.41725255577,1
2024,Power Plants,MI,24630279.82741352,12
2024,Power Plants,MN,5234326.7035903735,7
2024,Power Plants,MO,23212716.50141279,8
2024,Power Plants,MS,16159314.937784895,8
2024,Power Plants,MT,10997794.483820794,2
2024,Power Plants,NC,5728073.594946684,2
2024,Power Plants,ND,16837475.849037815,3
2024,Power Plants,NE,9869348.784255868,4
2024,Power Plants,NJ,4705007.873928825,5
2024,Power Plants,NM,4686893.530116315,6
2024,Power Plants,NV,5975629.569224647,6
2024,Power Plants,NY,6996953.113953175,20
2024,Power Plants,OH,34427064.53965422,12
2024,Power Plants,OK,5223469.4738767,4
2024,Power Plants,OR,2696667.75277152,2
2024,Power Plants,PA,14319271.424112413,13
2024,Power Plants,PR,5021776.7938746745,2
2024,Power Plants,RI,1333644.9020848942,1
2024,Power Plants,SC,6497697.22125126,5
2024,Power Plants,SD,1923322.0989940374,1
2024,Power Plants,TN,12525151.510571903,4
